Topic (EN),Topic (VI),Word A (EN),Word A (VI),Word B (EN),Word B (VI)
Cartoons,Hoạt hình,Shinchan,Shinchan,Doraemon,Đôrêmon
Cartoons,Hoạt hình,Tom,Tom,Jerry,Jerry
Cartoons,Hoạt hình,Ben 10,Ben 10,Generator Rex,Máy phát điện Rex
Cartoons,Hoạt hình,Pikachu,Pikachu,Raichu,Raichu
Cartoons,Hoạt hình,Mickey Mouse,Chuột Mickey,Donald Duck,Vịt Donald
Cartoons,Hoạt hình,SpongeBob,SpongeBob,Patrick,Patrick
Cartoons,Hoạt hình,Popeye,Popeye,Johnny Bravo,Johnny Bravo
Cartoons,Hoạt hình,Phineas,Phineas,Ferb,Ferb
Cartoons,Hoạt hình,Shin-chan,Shin-chan,Kazama,Kazama
Cartoons,Hoạt hình,Woody (Toy Story),Woody (Câu chuyện đồ chơi),Buzz Lightyear,Buzz Lightyear
Cartoons,Hoạt hình,Simba,Simba,Mufasa,Mufasa
Cartoons,Hoạt hình,Batman,Người dơi,Superman,Siêu nhân
Cartoons,Hoạt hình,Spider-Man,Người Nhện,Iron Man,Người sắt
Cartoons,Hoạt hình,Dorami,Dorami,Doraemon,Đôrêmon
Cartoons,Hoạt hình,Richie Rich,Richie Giàu,Dennis the Menace,Mối đe dọa Dennis
Cartoons,Hoạt hình,Dexter,Dexter,Jimmy Neutron,Jimmy Neutron
Cartoons,Hoạt hình,Takeshi (Gian),Takeshi (Gian),Suneo,Suneo
Cartoons,Hoạt hình,Mr. Bean (animated),Mr. Bean (hoạt hình),Shaun the Sheep,Cừu Shaun
Cartoons,Hoạt hình,Kick Buttowski,Đá Mông,Johnny Test,Kiểm tra Johnny
Cartoons,Hoạt hình,Caillou,Caillou,Dora the Explorer,Nhà thám hiểm Dora
Cartoons,Hoạt hình,Captain Planet,Thuyền trưởng hành tinh,He-Man,Anh-Người Đàn Ông
Cartoons,Hoạt hình,Shin-chan's Himawari,Himawari của Shin-chan,Doraemon's Dorami,Dorami của Đôrêmon
Cartoons,Hoạt hình,Nobita,Nobita,Shinchan,Shinchan
Cartoons,Hoạt hình,Gian,Gian,Buford (Phineas & Ferb),Buford (Phineas & Ferb)
Cartoons,Hoạt hình,Suneo,Suneo,Richie Rich,Richie giàu
Cartoons,Hoạt hình,Shizuka,Shizuka,Dora the Explorer,Nhà thám hiểm Dora
Cartoons,Hoạt hình,Kiteretsu,Kiteretsu,Dexter,Dexter
Cartoons,Hoạt hình,Dora,Dora,Diego,Diego
Cartoons,Hoạt hình,Oswald,Oswald,Pingu,Pingu
Cartoons,Hoạt hình,Tweety,Tweety,Woodpecker,Chim gõ kiến
Cartoons,Hoạt hình,Road Runner,Đà điểu Road Runner,Wile E. Coyote,Wile E. Coyote
Cartoons,Hoạt hình,Nobita,Nobita,Suneo,Suneo
Cartoons,Hoạt hình,Bugs Bunny,Thỏ Bugs (Bugs Bunny),Mickey Mouse,Chuột Mickey
Cartoons,Hoạt hình,Shin-chan,Shin-chan,Crayon Shin-chan,Bút chì màu Shin-chan
Cartoons,Hoạt hình,Transformers,Robot biến hình (Transformers),Power Rangers,Siêu nhân quyền lực
